qualified_name,name,class,lineno,async,decorators,file,A2該当,A2細分類,内容区分,備考,status
gwexpy.timeseries._statistics.StatisticsMixin.granger_causality,granger_causality,StatisticsMixin,131,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,"external:np.argmin,np.stack",
gwexpy.timeseries._statistics.StatisticsMixin._prep_stat_data,_prep_stat_data,StatisticsMixin,187,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,external:np.asarray;kw,
gwexpy.timeseries._statistics.StatisticsMixin._calculate_pearson,_calculate_pearson,StatisticsMixin,215,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.StatisticsMixin._calculate_kendall,_calculate_kendall,StatisticsMixin,219,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.StatisticsMixin._calculate_mic,_calculate_mic,StatisticsMixin,223,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.StatisticsMixin._calculate_distance_correlation,_calculate_distance_correlation,StatisticsMixin,242,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.__init__,__init__,TimeSeriesAttrs,34,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.__len__,__len__,TimeSeriesAttrs,35,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.astype,astype,TimeSeriesAttrs,36,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.copy,copy,TimeSeriesAttrs,37,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.resample,resample,TimeSeriesAttrs,38,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.lowpass,lowpass,TimeSeriesAttrs,39,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.highpass,highpass,TimeSeriesAttrs,40,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.bandpass,bandpass,TimeSeriesAttrs,41,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.bandstop,bandstop,TimeSeriesAttrs,42,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.interpolate,interpolate,TimeSeriesAttrs,43,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.fft,fft,TimeSeriesAttrs,44,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.rfft,rfft,TimeSeriesAttrs,45,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.psd,psd,TimeSeriesAttrs,46,False,[],gwexpy/_typing.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.asd,asd,TimeSeriesAttrs,47,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.csd,csd,TimeSeriesAttrs,48,False,[],gwexpy/_typing.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.coherence,coherence,TimeSeriesAttrs,49,False,[],gwexpy/_typing.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.spectrogram,spectrogram,TimeSeriesAttrs,50,False,[],gwexpy/_typing.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.crop,crop,TimeSeriesAttrs,51,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.hilbert,hilbert,TimeSeriesAttrs,52,False,[],gwexpy/_typing.py,Yes,A2-d,数値,kw,
gwexpy.timeseries._typing.TimeSeriesAttrs.abs,abs,TimeSeriesAttrs,53,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs.to,to,TimeSeriesAttrs,54,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs._prepare_data_for_transform,_prepare_data_for_transform,TimeSeriesAttrs,55,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries._typing.TimeSeriesAttrs._check_regular,_check_regular,TimeSeriesAttrs,61,False,[],gwexpy/_typing.py,No,非A2,非数値,helper,
gwexpy.timeseries._typing.TimeSeriesAttrs.override_unit,override_unit,TimeSeriesAttrs,62,False,[],gwexpy/_typing.py,No,非A2,非数値,,
gwexpy.timeseries.arima.ArimaResult.__init__,__init__,ArimaResult,48,False,[],gwexpy/arima.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.arima.ArimaResult._time_to_index,_time_to_index,ArimaResult,57,False,[],gwexpy/arima.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.arima.ArimaResult.predict,predict,ArimaResult,68,False,[],gwexpy/arima.py,Yes,A2-c,数値,external:np.ndim;kw,
gwexpy.timeseries.arima.ArimaResult.forecast,forecast,ArimaResult,104,False,[],gwexpy/arima.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.arima.ArimaResult.residuals,residuals,ArimaResult,156,False,[],gwexpy/arima.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.arima.ArimaResult.params_dict,params_dict,ArimaResult,168,False,[],gwexpy/arima.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.arima.ArimaResult.summary,summary,ArimaResult,193,False,[],gwexpy/arima.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.arima.ArimaResult.plot,plot,ArimaResult,197,False,[],gwexpy/arima.py,No,非A2,非数値,plotting,
gwexpy.timeseries.arima.fit_arima,fit_arima,,260,False,[],gwexpy/arima.py,Yes,A2-c,数値,"external:np.any,np.asarray,np.isnan;kw",
gwexpy.timeseries.collections.TimeSeriesDict.asfreq,asfreq,TimeSeriesDict,24,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.resample,resample,TimeSeriesDict,34,False,[],gwexpy/collections.py,Yes,A2-a,数値,kw,
